@relation postag

@attribute word string
@attribute tag_two_before string
@attribute tag_before string
@attribute tag string

@data
yang, PUNCT, NOUN, PRON
berantakan, NOUN, PRON, VERB
xDOT, PRON, VERB, PUNCT
Kebangkitan, UNKNOWN2, UNKNOWN1, PROPN
Kafirpun, UNKNOWN1, PROPN, PROPN
terjadi, PROPN, PROPN, VERB
di, PROPN, VERB, ADP
sana, VERB, ADP, NOUN
selama, ADP, NOUN, ADP
beberapa, NOUN, ADP, DET
tahun, ADP, DET, NOUN
xDOT, DET, NOUN, PUNCT
Home, UNKNOWN2, UNKNOWN1, PROPN
United, UNKNOWN1, PROPN, PROPN
27, PROPN, PROPN, NUM
14, PROPN, NUM, NUM
4, NUM, NUM, NUM
9, NUM, NUM, NUM
62, NUM, NUM, NUM
-, NUM, NUM, PUNCT
44, NUM, PUNCT, NUM
46, PUNCT, NUM, NUM
5, NUM, NUM, NUM
xDOT, NUM, NUM, PUNCT
Jalur, UNKNOWN2, UNKNOWN1, NOUN
ini, UNKNOWN1, NOUN, DET
menghubungkan, NOUN, DET, VERB
Kota, DET, VERB, PROPN
Kutoarjo, VERB, PROPN, PROPN
ke, PROPN, PROPN, ADP
Pantai, PROPN, ADP, PROPN
Ketawang, ADP, PROPN, PROPN
yang, PROPN, PROPN, PRON
cukup, PROPN, PRON, ADV
besar, PRON, ADV, ADJ
ombaknya, ADV, ADJ, NOUN
xDOT, ADJ, NOUN, PUNCT
Kalawit, UNKNOWN2, UNKNOWN1, PROPN
adalah, UNKNOWN1, PROPN, AUX
munisipalitas, PROPN, AUX, NOUN
di, AUX, NOUN, ADP
provinsi, NOUN, ADP, PROPN
Zamboanga, ADP, PROPN, PROPN
del, PROPN, PROPN, PROPN
Norte, PROPN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
Filipina, PROPN, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
Film, UNKNOWN2, UNKNOWN1, NOUN
ini, UNKNOWN1, NOUN, DET
terdiri, NOUN, DET, VERB
dari, DET, VERB, ADP
6, VERB, ADP, NUM
musim, ADP, NUM, NOUN
dengan, NUM, NOUN, ADP
137, NOUN, ADP, NUM
episiode, ADP, NUM, NOUN
xDOT, NUM, NOUN, PUNCT
Sebuah, UNKNOWN2, UNKNOWN1, DET
satelit, UNKNOWN1, DET, NOUN
yang, DET, NOUN, PRON
lebih, NOUN, PRON, ADV
canggih, PRON, ADV, VERB
dari, ADV, VERB, ADP
sebelumnya, VERB, ADP, ADV
sedang, ADP, ADV, ADV
dalam, ADV, ADV, ADP
pembangunan, ADV, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
tetapi, NOUN, PUNCT, CCONJ
tidak, PUNCT, CCONJ, PART
akan, CCONJ, PART, ADV
siap, PART, ADV, VERB
sampai, ADV, VERB, ADP
bulan, VERB, ADP, NOUN
Desember, ADP, NOUN, PROPN
;, NOUN, PROPN, PUNCT
satelit, PROPN, PUNCT, NOUN
ini, PUNCT, NOUN, DET
kelak, NOUN, DET, ADV
dinamai, DET, ADV, VERB
Sputnik, ADV, VERB, PROPN
3, VERB, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Mereka, UNKNOWN2, UNKNOWN1, PRON
akan, UNKNOWN1, PRON, ADV
menyediakan, PRON, ADV, VERB
kereta, ADV, VERB, NOUN
otomatis, VERB, NOUN, ADJ
untuk, NOUN, ADJ, ADP
Canada, ADJ, ADP, PROPN
Line, ADP, PROPN, PROPN
antara, PROPN, PROPN, ADP
Vancouver, PROPN, ADP, PROPN
dan, ADP, PROPN, CCONJ
Richmond, PROPN, CCONJ, PROPN
di, CCONJ, PROPN, ADP
British, PROPN, ADP, PROPN
Columbia, ADP, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
Kanada, PROPN, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
Kanaungan, UNKNOWN2, UNKNOWN1, PROPN
adalah, UNKNOWN1, PROPN, AUX
desa, PROPN, AUX, NOUN
di, AUX, NOUN, ADP
Kecamatan, NOUN, ADP, PROPN
Labakkang, ADP, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
Kabupaten, PROPN, PUNCT, PROPN
Pangkajene, PUNCT, PROPN, PROPN
dan, PROPN, PROPN, CCONJ
Kepulauan, PROPN, CCONJ, PROPN
xCOMMA, CCONJ, PROPN, PUNCT
Sulawesi, PROPN, PUNCT, PROPN
Selatan, PUNCT, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
Indonesia, PROPN, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
Setelah, UNKNOWN2, UNKNOWN1, ADP
jatuhnya, UNKNOWN1, ADP, NOUN
kekuasaan, ADP, NOUN, NOUN
Napoleon, NOUN, NOUN, PROPN
xCOMMA, NOUN, PROPN, PUNCT
Van, PROPN, PUNCT, PROPN
Geen, PUNCT, PROPN, PROPN
mengabdi, PROPN, PROPN, VERB
kepada, PROPN, VERB, ADP
Kerajaan, VERB, ADP, PROPN
Belanda, ADP, PROPN, PROPN
Bersatu, PROPN, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Setelah, UNKNOWN2, UNKNOWN1, SCONJ
1, UNKNOWN1, SCONJ, NUM
minggu, SCONJ, NUM, NOUN
xCOMMA, NUM, NOUN, PUNCT
mereka, NOUN, PUNCT, PRON
mulai, PUNCT, PRON, VERB
berkeliling, PRON, VERB, VERB
sarang, VERB, VERB, NOUN
mereka, VERB, NOUN, PRON
dan, NOUN, PRON, CCONJ
makan, PRON, CCONJ, VERB
xDOT, CCONJ, VERB, PUNCT
Stres, UNKNOWN2, UNKNOWN1, NOUN
atau, UNKNOWN1, NOUN, CCONJ
penyalah-gunaan, NOUN, CCONJ, NOUN
zat, CCONJ, NOUN, NOUN
?, NOUN, NOUN, PUNCT
?, NOUN, PUNCT, PUNCT
?, PUNCT, PUNCT, PUNCT
Akan, UNKNOWN2, UNKNOWN1, ADV
tetapi, UNKNOWN1, ADV, SCONJ
xCOMMA, ADV, SCONJ, PUNCT
bentuk, SCONJ, PUNCT, NOUN
umum, PUNCT, NOUN, NOUN
pelaksanaannya, NOUN, NOUN, NOUN
masih, NOUN, NOUN, ADV
tetap, NOUN, ADV, ADV
ada, ADV, ADV, VERB
xCOMMA, ADV, VERB, PUNCT
seperti, VERB, PUNCT, ADP
thawaf, PUNCT, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
sa, NOUN, PUNCT, NOUN
xSINGQUOT, PUNCT, NOUN, PUNCT
i, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
wukuf, NOUN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
melontar, PUNCT, CCONJ, VERB
jumrah, CCONJ, VERB, NOUN
xDOT, VERB, NOUN, PUNCT
Pesawat, UNKNOWN2, UNKNOWN1, NOUN
pengintai, UNKNOWN1, NOUN, NOUN
Amerika, NOUN, NOUN, PROPN
Serikat, NOUN, PROPN, PROPN
menemukan, PROPN, PROPN, VERB
armada, PROPN, VERB, NOUN
Jepang, VERB, NOUN, PROPN
sedang, NOUN, PROPN, ADV
mendekat, PROPN, ADV, VERB
dan, ADV, VERB, CCONJ
memperingatkan, VERB, CCONJ, VERB
markas, CCONJ, VERB, NOUN
komando, VERB, NOUN, PROPN
Sekutu, NOUN, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Nama, UNKNOWN2, UNKNOWN1, NOUN
latin, UNKNOWN1, NOUN, NOUN
Paris, NOUN, NOUN, PROPN
adalah, NOUN, PROPN, AUX
Lutetia, PROPN, AUX, PROPN
(, AUX, PROPN, PUNCT
), PROPN, PUNCT, PUNCT
xCOMMA, PUNCT, PUNCT, PUNCT
atau, PUNCT, PUNCT, CCONJ
Lutetia, PUNCT, CCONJ, PROPN
Parisiorum, CCONJ, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
(, PROPN, PUNCT, PUNCT
Bahasa, PUNCT, PUNCT, PROPN
Perancis, PUNCT, PROPN, PROPN
:, PROPN, PROPN, PUNCT
Lutèce, PROPN, PUNCT, PROPN
(, PUNCT, PROPN, PUNCT
), PROPN, PUNCT, PUNCT
), PUNCT, PUNCT, PUNCT
xCOMMA, PUNCT, PUNCT, PUNCT
yang, PUNCT, PUNCT, PRON
kemudian, PUNCT, PRON, ADV
dipotong, PRON, ADV, ADV
menjadi, ADV, ADV, VERB
hanya, ADV, VERB, ADV
Paris, VERB, ADV, PROPN
xDOT, ADV, PROPN, PUNCT
Pemberontakan, UNKNOWN2, UNKNOWN1, PROPN
Raden, UNKNOWN1, PROPN, PROPN
Haji, PROPN, PROPN, PROPN
Alit, PROPN, PROPN, PROPN
Prawatasari, PROPN, PROPN, PROPN
Raden, PROPN, PROPN, PROPN
Haji, PROPN, PROPN, PROPN
Alit, PROPN, PROPN, PROPN
Prawatasari, PROPN, PROPN, PROPN
adalah, PROPN, PROPN, AUX
seorang, PROPN, AUX, DET
ulama, AUX, DET, NOUN
dari, DET, NOUN, ADP
Jampang, NOUN, ADP, PROPN
yang, ADP, PROPN, PRON
juga, PROPN, PRON, ADV
merupakan, PRON, ADV, VERB
keturunan, ADV, VERB, NOUN
Sancang, VERB, NOUN, NOUN
Kuning, NOUN, NOUN, PROPN
dari, NOUN, PROPN, ADP
Singacala, PROPN, ADP, PROPN
(, ADP, PROPN, PUNCT
Panjalu, PROPN, PUNCT, PROPN
), PUNCT, PROPN, PUNCT
xDOT, PROPN, PUNCT, PUNCT
Untuk, UNKNOWN2, UNKNOWN1, ADP
lagu, UNKNOWN1, ADP, NOUN
karangan, ADP, NOUN, NOUN
Ismail, NOUN, NOUN, PROPN
Marzuki, NOUN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
silakan, PROPN, PUNCT, PART
lihat, PUNCT, PART, VERB
Bandaneira, PART, VERB, PROPN
(, VERB, PROPN, PUNCT
lagu, PROPN, PUNCT, NOUN
), PUNCT, NOUN, PUNCT
Banda, NOUN, PUNCT, PROPN
Neira, PUNCT, PROPN, PROPN
atau, PROPN, PROPN, CCONJ
Banda, PROPN, CCONJ, PROPN
Naira, CCONJ, PROPN, PROPN
adalah, PROPN, PROPN, AUX
salah, PROPN, AUX, DET
satu, AUX, DET, DET
pulau, DET, DET, NOUN
di, DET, NOUN, ADP
Kepulauan, NOUN, ADP, PROPN
Banda, ADP, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
dan, PROPN, PUNCT, CCONJ
merupakan, PUNCT, CCONJ, VERB
pusat, CCONJ, VERB, NOUN
administratif, VERB, NOUN, NOUN
Kecamatan, NOUN, NOUN, NOUN
Banda, NOUN, NOUN, PROPN
xCOMMA, NOUN, PROPN, PUNCT
Kabupaten, PROPN, PUNCT, PROPN
Maluku, PUNCT, PROPN, PROPN
Tengah, PROPN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
Maluku, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
Indonesia, PROPN, PUNCT, PROPN
xDOT, PUNCT, PROPN, PUNCT
Setelah, UNKNOWN2, UNKNOWN1, ADP
tujuh, UNKNOWN1, ADP, NUM
tahun, ADP, NUM, NOUN
bertapa, NUM, NOUN, VERB
xCOMMA, NOUN, VERB, PUNCT
daya, VERB, PUNCT, NOUN
linuwih, PUNCT, NOUN, PROPN
pada, NOUN, PROPN, ADP
Sayid, PROPN, ADP, PROPN
Anwar, ADP, PROPN, PROPN
terolah, PROPN, PROPN, VERB
hebat, PROPN, VERB, ADJ
sehingga, VERB, ADJ, SCONJ
bisa, ADJ, SCONJ, ADV
menghilang, SCONJ, ADV, VERB
(, ADV, VERB, PUNCT
kasat, VERB, PUNCT, VERB
mata, PUNCT, VERB, NOUN
), VERB, NOUN, PUNCT
xDOT, NOUN, PUNCT, PUNCT
Saat, UNKNOWN2, UNKNOWN1, NOUN
ini, UNKNOWN1, NOUN, DET
telah, NOUN, DET, ADV
dibangun, DET, ADV, VERB
jalur, ADV, VERB, NOUN
jalan, VERB, NOUN, NOUN
sawah, NOUN, NOUN, NOUN
untuk, NOUN, NOUN, ADP
mempermudah, NOUN, ADP, VERB
dalam, ADP, VERB, ADP
pendistribusian, VERB, ADP, NOUN
padi, ADP, NOUN, NOUN
di, NOUN, NOUN, ADP
dusun, NOUN, ADP, NOUN
Bangsalan, ADP, NOUN, PROPN
oleh, NOUN, PROPN, ADP
PNPM, PROPN, ADP, PROPN
Mandiri, ADP, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Hibruannya, UNKNOWN2, UNKNOWN1, NOUN
berupa, UNKNOWN1, NOUN, VERB
AVOD, NOUN, VERB, PROPN
(, VERB, PROPN, PUNCT
Audio, PROPN, PUNCT, PROPN
Video, PUNCT, PROPN, PROPN
on, PROPN, PROPN, PROPN
Demand, PROPN, PROPN, PROPN
), PROPN, PROPN, PUNCT
pribadi, PROPN, PUNCT, ADJ
pada, PUNCT, ADJ, ADP
pesawat, ADJ, ADP, NOUN
Project, ADP, NOUN, PROPN
XM, NOUN, PROPN, PROPN
atau, PROPN, PROPN, CCONJ
layar, PROPN, CCONJ, NOUN
utama, CCONJ, NOUN, ADJ
pada, NOUN, ADJ, ADP
pesawat, ADJ, ADP, NOUN
non, ADP, NOUN, ADJ
-, NOUN, ADJ, PUNCT
Project, ADJ, PUNCT, PROPN
XM, PUNCT, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Musik, PROPN, PUNCT, PROPN
disediakan, PUNCT, PROPN, VERB
oleh, PROPN, VERB, ADP
radio, VERB, ADP, PROPN
satelit, ADP, PROPN, NOUN
XM, PROPN, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Huruf, NOUN, PUNCT, NOUN
pada, PUNCT, NOUN, ADP
tiket, NOUN, ADP, NOUN
pesawat, ADP, NOUN, NOUN
merujuk, NOUN, NOUN, VERB
pada, NOUN, VERB, ADP
kelas, VERB, ADP, NOUN
yang, ADP, NOUN, PRON
diperlihatkan, NOUN, PRON, VERB
di, PRON, VERB, ADP
situs, VERB, ADP, NOUN
webnya, ADP, NOUN, NOUN
xCOMMA, NOUN, NOUN, PUNCT
bocoran, NOUN, PUNCT, NOUN
yang, PUNCT, NOUN, PRON
diberikan, NOUN, PRON, VERB
pada, PRON, VERB, ADP
sertifikat, VERB, ADP, NOUN
pembaruan, ADP, NOUN, NOUN
Aeroplan, NOUN, NOUN, PROPN
2007, NOUN, PROPN, NUM
seperti, PROPN, NUM, ADP
ini, NUM, ADP, DET
:, ADP, DET, PUNCT
Tango, DET, PUNCT, PROPN
(, PUNCT, PROPN, PUNCT
R, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
K, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
N, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
G, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
P, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
E, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
T, PROPN, PUNCT, NOUN
), PUNCT, NOUN, PUNCT
xCOMMA, NOUN, PUNCT, PUNCT
Tango, PUNCT, PUNCT, PROPN
Plus, PUNCT, PROPN, PROPN
(, PROPN, PROPN, PUNCT
B, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
H, PROPN, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
V, NOUN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
Q, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
L, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
A, PROPN, PUNCT, PROPN
), PUNCT, PROPN, PUNCT
xCOMMA, PROPN, PUNCT, PUNCT
Latitude, PUNCT, PUNCT, PROPN
(, PUNCT, PROPN, PUNCT
M, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
U, PROPN, PUNCT, PROPN
), PUNCT, PROPN, PUNCT
xCOMMA, PROPN, PUNCT, PUNCT
Latitude, PUNCT, PUNCT, PROPN
Plus, PUNCT, PROPN, PROPN
(, PROPN, PROPN, PUNCT
Y, PROPN, PUNCT, PROPN
), PUNCT, PROPN, PUNCT
dan, PROPN, PUNCT, CCONJ
Executive, PUNCT, CCONJ, PROPN
(, CCONJ, PROPN, PUNCT
J, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
C, PROPN, PUNCT, PROPN
xCOMMA, PUNCT, PROPN, PUNCT
Z, PROPN, PUNCT, PROPN
), PUNCT, PROPN, PUNCT
xDOT, PROPN, PUNCT, PUNCT
Hal, UNKNOWN2, UNKNOWN1, NOUN
itu, UNKNOWN1, NOUN, DET
disebabkan, NOUN, DET, VERB
Lord, DET, VERB, PROPN
Ashley, VERB, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
yang, PROPN, PUNCT, PRON
merupakan, PUNCT, PRON, VERB
sahabat, PRON, VERB, NOUN
Locke, VERB, NOUN, PROPN
xCOMMA, NOUN, PROPN, PUNCT
adalah, PROPN, PUNCT, AUX
salah, PUNCT, AUX, DET
satu, AUX, DET, DET
pemimpin, DET, DET, NOUN
kaum, DET, NOUN, NOUN
yang, NOUN, NOUN, PRON
anti, NOUN, PRON, ADJ
terhadap, PRON, ADJ, ADP
pemerintahan, ADJ, ADP, NOUN
Raja, ADP, NOUN, PROPN
Charles, NOUN, PROPN, PROPN
II, PROPN, PROPN, NUM
xDOT, PROPN, NUM, PUNCT
Raja, NUM, PUNCT, PROPN
Charles, PUNCT, PROPN, PROPN
II, PROPN, PROPN, NUM
melihat, PROPN, NUM, VERB
Lord, NUM, VERB, PROPN
Ashley, VERB, PROPN, PROPN
sebagai, PROPN, PROPN, ADP
musuhnya, PROPN, ADP, NOUN
yang, ADP, NOUN, PRON
amat, NOUN, PRON, ADV
berbahaya, PRON, ADV, VERB
dan, ADV, VERB, CCONJ
ingin, VERB, CCONJ, ADV
membunuhnya, CCONJ, ADV, VERB
xCOMMA, ADV, VERB, PUNCT
namun, VERB, PUNCT, SCONJ
beberapa, PUNCT, SCONJ, DET
kali, SCONJ, DET, NOUN
usahanya, DET, NOUN, NOUN
gagal, NOUN, NOUN, ADJ
xDOT, NOUN, ADJ, PUNCT
Mayumi, UNKNOWN2, UNKNOWN1, PROPN
Thyme, UNKNOWN1, PROPN, PROPN
adalah, PROPN, PROPN, AUX
karakter, PROPN, AUX, NOUN
pendukung, AUX, NOUN, NOUN
dalam, NOUN, NOUN, ADP
Shuffle, NOUN, ADP, PROPN
!, ADP, PROPN, PUNCT
xCOMMA, PROPN, PUNCT, PUNCT
dan, PUNCT, PUNCT, CCONJ
salah, PUNCT, CCONJ, DET
satu, CCONJ, DET, DET
tokoh, DET, DET, NOUN
utama, DET, NOUN, ADJ
dalam, NOUN, ADJ, ADP
Really, ADJ, ADP, PROPN
?, ADP, PROPN, PUNCT
Kemungkinan, UNKNOWN2, UNKNOWN1, NOUN
luas, UNKNOWN1, NOUN, NOUN
lapisan, NOUN, NOUN, NOUN
es, NOUN, NOUN, NOUN
tersebut, NOUN, NOUN, DET
menyusut, NOUN, DET, VERB
akibat, DET, VERB, CCONJ
perubahan, VERB, CCONJ, NOUN
iklim, CCONJ, NOUN, NOUN
lokal, NOUN, NOUN, ADJ
xDOT, NOUN, ADJ, PUNCT
Para, UNKNOWN2, UNKNOWN1, DET
Ksatria, UNKNOWN1, DET, NOUN
Ordo, DET, NOUN, NOUN
Bait, NOUN, NOUN, NOUN
Allah, NOUN, NOUN, NOUN
secara, NOUN, NOUN, ADP
khusus, NOUN, ADP, ADV
dituduh, ADP, ADV, VERB
menyembah, ADV, VERB, VERB
semacam, VERB, VERB, NOUN
potongan, VERB, NOUN, NOUN
kepala, NOUN, NOUN, NOUN
;, NOUN, NOUN, PUNCT
sebuah, NOUN, PUNCT, DET
tuduhan, PUNCT, DET, NOUN
yang, DET, NOUN, PRON
hanya, NOUN, PRON, ADV
dijatuhkan, PRON, ADV, VERB
terhadap, ADV, VERB, ADP
para, VERB, ADP, DET
Ksatria, ADP, DET, NOUN
Ordo, DET, NOUN, NOUN
Bait, NOUN, NOUN, NOUN
Allah, NOUN, NOUN, NOUN
xDOT, NOUN, NOUN, PUNCT
Johanna, UNKNOWN2, UNKNOWN1, PROPN
Masdani, UNKNOWN1, PROPN, PROPN
(, PROPN, PROPN, PUNCT
lahir, PROPN, PUNCT, VERB
29, PUNCT, VERB, NUM
November, VERB, NUM, PROPN
1910, NUM, PROPN, NUM
di, PROPN, NUM, ADP
Amurang, NUM, ADP, PROPN
xCOMMA, ADP, PROPN, PUNCT
Sulawesi, PROPN, PUNCT, PROPN
Utara, PUNCT, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
meninggal, PROPN, PUNCT, VERB
13, PUNCT, VERB, NUM
Mei, VERB, NUM, PROPN
2006, NUM, PROPN, NUM
di, PROPN, NUM, ADP
Jakarta, NUM, ADP, PROPN
), ADP, PROPN, PUNCT
xCOMMA, PROPN, PUNCT, PUNCT
adalah, PUNCT, PUNCT, AUX
seorang, PUNCT, AUX, DET
pahlawan, AUX, DET, NOUN
perintis, DET, NOUN, ADJ
kemerdekaan, NOUN, ADJ, NOUN
Indonesia, ADJ, NOUN, PROPN
xDOT, NOUN, PROPN, PUNCT
Setiap, UNKNOWN2, UNKNOWN1, DET
anggota, UNKNOWN1, DET, NOUN
diasosiasikan, DET, NOUN, VERB
dengan, NOUN, VERB, ADP
satu, VERB, ADP, NUM
warna, ADP, NUM, NOUN
yaitu, NUM, NOUN, ADV
merah, NOUN, ADV, ADJ
xCOMMA, ADV, ADJ, PUNCT
merah, ADJ, PUNCT, ADJ
muda, PUNCT, ADJ, ADJ
xCOMMA, ADJ, ADJ, PUNCT
biru, ADJ, PUNCT, ADJ
xCOMMA, PUNCT, ADJ, PUNCT
hijau, ADJ, PUNCT, ADJ
xCOMMA, PUNCT, ADJ, PUNCT
kuning, ADJ, PUNCT, NOUN
xCOMMA, PUNCT, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
lain, PUNCT, CCONJ, ADJ
xDOT, CCONJ, ADJ, PUNCT
Untuk, UNKNOWN2, UNKNOWN1, ADP
ukuran, UNKNOWN1, ADP, NOUN
kota, ADP, NOUN, NOUN
kabupaten, NOUN, NOUN, NOUN
di, NOUN, NOUN, ADP
luar, NOUN, ADP, NOUN
Pulau, ADP, NOUN, PROPN
Jawa, NOUN, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
keberadaan, PROPN, PUNCT, NOUN
Bandara, PUNCT, NOUN, NOUN
Iskandar, NOUN, NOUN, PROPN
cukup, NOUN, PROPN, ADV
memadai, PROPN, ADV, VERB
xDOT, ADV, VERB, PUNCT
Pertunjukan, UNKNOWN2, UNKNOWN1, NOUN
ini, UNKNOWN1, NOUN, DET
menjadi, NOUN, DET, VERB
kesenian, DET, VERB, NOUN
yang, VERB, NOUN, PRON
disebut, NOUN, PRON, VERB
xDOUBQUOT, PRON, VERB, PUNCT
Sarugaku, VERB, PUNCT, PROPN
no, PUNCT, PROPN, PROPN
Noh, PROPN, PROPN, PROPN
xDOUBQUOT, PROPN, PROPN, PUNCT
xDOT, PROPN, PUNCT, PUNCT
Dua, UNKNOWN2, UNKNOWN1, NUM
gambar, UNKNOWN1, NUM, NOUN
di, NUM, NOUN, ADP
dinding, NOUN, ADP, NOUN
keempat, ADP, NOUN, NUM
xCOMMA, NOUN, NUM, PUNCT
yang, NUM, PUNCT, PRON
diselesaikan, PUNCT, PRON, VERB
oleh, PRON, VERB, ADP
para, VERB, ADP, DET
pekerjanya, ADP, DET, NOUN
xCOMMA, DET, NOUN, PUNCT
dan, NOUN, PUNCT, CCONJ
di, PUNCT, CCONJ, ADP
lunette, CCONJ, ADP, NOUN
(, ADP, NOUN, PUNCT
langit, NOUN, PUNCT, NOUN
-, PUNCT, NOUN, PUNCT
langit, NOUN, PUNCT, NOUN
yang, PUNCT, NOUN, PRON
melengkung, NOUN, PRON, VERB
), PRON, VERB, PUNCT
di, VERB, PUNCT, ADP
atasnya, PUNCT, ADP, NOUN
xCOMMA, ADP, NOUN, PUNCT
menceritakan, NOUN, PUNCT, VERB
tentang, PUNCT, VERB, ADP
Kebajikan, VERB, ADP, PROPN
Utama, ADP, PROPN, PROPN
xCOMMA, PROPN, PROPN, PUNCT
dilukis, PROPN, PUNCT, VERB
pada, PUNCT, VERB, ADP
tahun, VERB, ADP, NOUN
1511, ADP, NOUN, NUM
xDOT, NOUN, NUM, PUNCT
Sakit, UNKNOWN2, UNKNOWN1, PROPN
kerongkongan, UNKNOWN1, PROPN, NOUN
xCOMMA, PROPN, NOUN, PUNCT
demam, NOUN, PUNCT, NOUN
tinggi, PUNCT, NOUN, ADJ
dan, NOUN, ADJ, CCONJ
muntah, ADJ, CCONJ, NOUN
xCOMMA, CCONJ, NOUN, PUNCT
diikuti, NOUN, PUNCT, VERB
dengan, PUNCT, VERB, ADP
ruam, VERB, ADP, NOUN
dalam, ADP, NOUN, ADP
waktu, NOUN, ADP, NOUN
12, ADP, NOUN, NUM
sampai, NOUN, NUM, ADP
36, NUM, ADP, NUM
jam, ADP, NUM, NOUN
xDOT, NUM, NOUN, PUNCT
Setelah, UNKNOWN2, UNKNOWN1, ADP
kejatuhan, UNKNOWN1, ADP, NOUN
Ambon, ADP, NOUN, PROPN
ke, NOUN, PROPN, ADP
tangan, PROPN, ADP, NOUN
Ternate, ADP, NOUN, PROPN
dalam, NOUN, PROPN, ADP
perang, PROPN, ADP, NOUN
Ternate, ADP, NOUN, PROPN
–, NOUN, PROPN, PUNCT
Portugis, PROPN, PUNCT, PROPN
yang, PUNCT, PROPN, PRON
pertama, PROPN, PRON, ADJ
xCOMMA, PRON, ADJ, PUNCT
Portugis, ADJ, PUNCT, PROPN
terpaksa, PUNCT, PROPN, ADV
memohon, PROPN, ADV, VERB
damai, ADV, VERB, NOUN
kepada, VERB, NOUN, ADP
sultan, NOUN, ADP, NOUN
Khairun, ADP, NOUN, PROPN
yang, NOUN, PROPN, PRON
kemudian, PROPN, PRON, ADV
disambut, PRON, ADV, VERB
dengan, ADV, VERB, ADP
itikad, VERB, ADP, NOUN
baik, ADP, NOUN, ADJ
xDOT, NOUN, ADJ, PUNCT
Pada, UNKNOWN2, UNKNOWN1, ADP
zaman, UNKNOWN1, ADP, NOUN
dulu, ADP, NOUN, ADV
disebut, NOUN, ADV, VERB
atau, ADV, VERB, CCONJ
cha, VERB, CCONJ, NOUN
no, CCONJ, NOUN, PROPN
yu, NOUN, PROPN, PROPN
xDOT, PROPN, PROPN, PUNCT
Akan, UNKNOWN2, UNKNOWN1, CCONJ
tetapi, UNKNOWN1, CCONJ, SCONJ
ketika, CCONJ, SCONJ, SCONJ
tekanan, SCONJ, SCONJ, NOUN
total, SCONJ, NOUN, ADV
berubah, NOUN, ADV, VERB
xCOMMA, ADV, VERB, PUNCT
kedua, VERB, PUNCT, NUM
titik, PUNCT, NUM, NOUN
didih, NUM, NOUN, ADJ
dan, NOUN, ADJ, CCONJ
komposisi, ADJ, CCONJ, NOUN
dari, CCONJ, NOUN, ADP
azeotrop, NOUN, ADP, PROPN
berubah, ADP, PROPN, VERB
xDOT, PROPN, VERB, PUNCT
Meski, UNKNOWN2, UNKNOWN1, ADV
misteri, UNKNOWN1, ADV, NOUN
ini, ADV, NOUN, DET
mengatasi, NOUN, DET, VERB
akal, DET, VERB, NOUN
